MW_R,logP_R,TPSA_R,Rings Count_R,Aromatic Rings_R,Heavy atoms cout_R,Alifatic Rings_R,CSP3_R,BalabanJ_R,RotatableBonds_R,H-bond donor_R,H-bond acceptor_R,MW_P,logP_P,TPSA_P,Rings Count_P,Aromatic Rings_P,Heavy atoms cout_P,Alifatic Rings_P,CSP3_P,BalabanJ_P,RotatableBonds_P,H-bond donor_P,H-bond acceptor_P
260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0,260.02971862600003,-3.1028,156.91,1.0,1.0,16.0,1.0,1.0,2.613201181998435,4.0,6.0,7.0
767.0254640879998,-4.731800000000001,436.03999999999996,4.0,2.0,47.0,2.0,1.5,4.30261058219916,12.0,13.0,21.0,767.0254640879998,-4.731800000000001,436.03999999999996,4.0,2.0,47.0,2.0,1.5,4.422680439879217,12.0,13.0,20.0
339.9960491479999,-2.9858,203.44,1.0,1.0,20.0,1.0,1.0,2.6740286330746827,6.0,7.0,8.0,339.996049148,-2.6874000000000007,208.12,0.0,0.0,20.0,0.0,1.3333333333333333,7.111275753771958,8.0,6.0,8.0
169.998024574,-1.3445000000000005,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.550748721097319,4.0,3.0,4.0,169.998024574,-1.3429000000000002,104.06,0.0,0.0,10.0,0.0,0.6666666666666666,3.560527032674639,4.0,3.0,4.0
834.11442283009,-4.3603999999999985,422.31999999999994,5.0,2.0,54.0,2.0,1.1428571428571428,4.708376811820848,15.0,11.0,21.0,266.967094748,-1.7950000000000004,170.82,0.0,0.0,15.0,0.0,0.6666666666666666,4.123563157630082,5.0,5.0,6.0
834.11442283009,-4.3603999999999985,422.31999999999994,5.0,2.0,54.0,2.0,1.1428571428571428,4.708376811820848,15.0,11.0,21.0,266.967094748,-1.7950000000000004,170.82,0.0,0.0,15.0,0.0,0.6666666666666666,4.123563157630082,5.0,5.0,6.0
834.11442283009,-4.3603999999999985,422.31999999999994,5.0,2.0,54.0,2.0,1.1428571428571428,4.708376811820848,15.0,11.0,21.0,266.967094748,-1.7950000000000004,170.82,0.0,0.0,15.0,0.0,0.6666666666666666,4.123563157630082,5.0,5.0,6.0
692.9886846559998,-3.087800000000001,403.42,3.0,1.0,42.0,1.0,1.1666666666666665,5.4103939640235685,12.0,11.0,18.0,692.9886846559999,-3.653500000000001,403.41999999999996,3.0,1.0,42.0,1.0,1.1666666666666665,5.872214964434617,11.0,11.0,18.0
692.9886846559998,-3.087800000000001,403.42,3.0,1.0,42.0,1.0,1.1666666666666665,5.4103939640235685,12.0,11.0,18.0,692.9886846559999,-3.653500000000001,403.41999999999996,3.0,1.0,42.0,1.0,1.1666666666666665,5.872214964434617,11.0,11.0,18.0
185.992939194,-1.4588000000000003,124.29000000000002,0.0,0.0,11.0,0.0,0.6666666666666666,4.101477779413871,4.0,4.0,4.0,185.99293919400003,-1.1307,135.56,0.0,0.0,11.0,0.0,0.0,4.067302180177984,3.0,3.0,3.0
